uid,asset_id,Ratings
1,1,0
1,5,0
1,9,0
1,12,3
1,14,0
1,15,4
1,16,0
1,17,4
1,18,5
1,20,4
1,22,0
1,23,0
1,25,0
1,49,0
1,57,0
1,70,3
1,71,4
1,74,0
1,76,4
2,1,4
2,5,0
2,9,2
2,12,4
2,14,2
2,15,4
2,16,2
2,17,4
2,18,0
2,20,3
2,22,4
2,23,5
2,25,0
2,49,4
2,57,4
2,70,0
2,71,0
2,74,5
2,76,2
3,1,0
3,5,3
3,9,3
3,12,0
3,14,2
3,15,5
3,16,2
3,17,0
3,18,5
3,20,5
3,22,3
3,23,4
3,25,3
3,49,3
3,57,4
3,70,0
3,71,3
3,74,3
3,76,0
4,1,3
4,5,4
4,9,5
4,12,3
4,14,0
4,15,4
4,16,0
4,17,3
4,18,0
4,20,3
4,22,2
4,23,0
4,25,3
4,49,0
4,57,0
4,70,3
4,71,5
4,74,3
4,76,0
5,1,0
5,5,4
5,9,3
5,12,0
5,14,0
5,15,0
5,16,4
5,17,0
5,18,5
5,20,5
5,22,3
5,23,0
5,25,3
5,49,0
5,57,4
5,70,2
5,71,5
5,74,0
5,76,2
6,1,4
6,5,2
6,9,2
6,12,0
6,14,5
6,15,2
6,16,2
6,17,3
6,18,0
6,20,5
6,22,0
6,23,0
6,25,2
6,49,4
6,57,3
6,70,2
6,71,5
6,74,2
6,76,3
7,1,0
7,5,2
7,9,5
7,12,0
7,14,2
7,15,4
7,16,2
7,17,5
7,18,3
7,20,0
7,22,4
7,23,0
7,25,3
7,49,2
7,57,2
7,70,4
7,71,5
7,74,3
7,76,4
8,1,0
8,5,5
8,9,2
8,12,0
8,14,5
8,15,2
8,16,3
8,17,0
8,18,0
8,20,4
8,22,2
8,23,0
8,25,2
8,49,0
8,57,0
8,70,4
8,71,4
8,74,4
8,76,4
9,1,5
9,5,0
9,9,4
9,12,5
9,14,0
9,15,0
9,16,0
9,17,2
9,18,3
9,20,0
9,22,2
9,23,2
9,25,2
9,49,3
9,57,5
9,70,4
9,71,0
9,74,2
9,76,4
10,1,0
10,5,3
10,9,2
10,12,3
10,14,5
10,15,0
10,16,0
10,17,0
10,18,5
10,20,5
10,22,3
10,23,2
10,25,0
10,49,0
10,57,2
10,70,0
10,71,4
10,74,0
10,76,2
11,1,4
11,5,5
11,9,4
11,12,5
11,14,0
11,15,0
11,16,5
11,17,2
11,18,0
11,20,2
11,22,0
11,23,0
11,25,2
11,49,0
11,57,2
11,70,5
11,71,0
11,74,5
11,76,0
12,1,0
12,5,3
12,9,4
12,12,0
12,14,3
12,15,2
12,16,3
12,17,5
12,18,0
12,20,3
12,22,0
12,23,0
12,25,0
12,49,2
12,57,2
12,70,3
12,71,0
12,74,5
12,76,0
13,2,0
13,30,3
13,31,1
13,33,0
13,34,3
13,35,3
13,36,0
13,37,0
13,43,0
13,65,3
14,2,0
14,30,1
14,31,1
14,33,5
14,34,0
14,35,1
14,36,3
14,37,0
14,43,4
14,65,0
15,2,4
15,30,5
15,31,3
15,33,3
15,34,3
15,35,0
15,36,0
15,37,0
15,43,0
15,65,4
16,2,3
16,30,0
16,31,1
16,33,0
16,34,3
16,35,3
16,36,1
16,37,0
16,43,5
16,65,4
17,2,3
17,30,1
17,31,4
17,33,5
17,34,3
17,35,0
17,36,1
17,37,5
17,43,0
17,65,1
18,2,0
18,30,5
18,31,3
18,33,4
18,34,1
18,35,3
18,36,4
18,37,3
18,43,1
18,65,3
19,2,0
19,30,0
19,31,3
19,33,3
19,34,0
19,35,3
19,36,1
19,37,5
19,43,3
19,65,4
20,2,3
20,30,1
20,31,1
20,33,1
20,34,3
20,35,0
20,36,5
20,37,3
20,43,1
20,65,5
21,2,3
21,30,4
21,31,5
21,33,0
21,34,0
21,35,3
21,36,3
21,37,0
21,43,3
21,65,3
22,2,5
22,30,3
22,31,0
22,33,3
22,34,0
22,35,4
22,36,5
22,37,0
22,43,0
22,65,4
23,2,4
23,30,0
23,31,5
23,33,5
23,34,5
23,35,0
23,36,1
23,37,1
23,43,4
23,65,0
24,2,3
24,30,0
24,31,3
24,33,3
24,34,3
24,35,4
24,36,4
24,37,1
24,43,3
24,65,5
25,3,0
25,7,3
25,13,5
25,38,0
25,42,0
25,54,0
25,59,3
25,69,0
26,3,5
26,7,0
26,13,5
26,38,4
26,42,3
26,54,0
26,59,3
26,69,5
27,3,0
27,7,5
27,13,4
27,38,4
27,42,3
27,54,4
27,59,0
27,69,4
28,3,2
28,7,5
28,13,4
28,38,4
28,42,3
28,54,2
28,59,0
28,69,0
29,3,0
29,7,0
29,13,0
29,38,2
29,42,4
29,54,5
29,59,0
29,69,5
30,3,5
30,7,5
30,13,5
30,38,0
30,42,4
30,54,2
30,59,5
30,69,3
31,3,2
31,7,4
31,13,0
31,38,5
31,42,5
31,54,0
31,59,0
31,69,3
32,3,5
32,7,3
32,13,0
32,38,2
32,42,0
32,54,2
32,59,0
32,69,4
33,3,3
33,7,0
33,13,5
33,38,0
33,42,0
33,54,0
33,59,5
33,69,4
34,3,0
34,7,3
34,13,3
34,38,0
34,42,4
34,54,4
34,59,5
34,69,4
35,3,0
35,7,5
35,13,5
35,38,2
