asset_id,asset_description,asset_title,custom_stop_desc,custom_stop_title,asset_description_cleaned,asset_title_cleaned,Domain
1,peter drucker the legendary management scholar and consultant noted in a harvard business review article that the assumptions businesses make about customer behaviors competitors and markets constitute their theory of business the theory that a company develops dictates what it should do and how it should do it and can be a powerful tool to guide the enterprise however when those assumptions no longer reflect reality the decisions a company makes that once led to profitability can lead it astray the failure to change the theory and the assumptions that undergird it to align with the new reality drucker wrote is at the root of all business crises today because customer behaviors markets and competitors have all changed and continue to change rapidly business theories do not reflect reality for very long this is why so many companies especially those most affected by the digitization of everything are in crisis it is why they need to revise their theories of business to become smarter faster and lighter the revolution in customer behaviorhow much have business theories changed over this decade look at one aspect of customer behavior the shopping patterns of consumers just a few years ago when a shopper entered a store his or her choice was limited to what was on the shelves today armed with smart mobile devices enabled by free pervasive wifi a customer in store a can compare the price and quality of what is on the shelves with an entire universe of competing productsobtain instant reviews of products from social media channelstext friends about their experiences with the products or ask trusted strangers in online consumer forumspurchase the product from store b while standing in store a s aislethis complex path to purchase promises to grow more varied not less according to a study of shoppers interacted digitally prior to shopping while only used a digital device during the shopping process said they planned to do so in the near future just one year later u s car buyers spent of their time purchasing a vehicle doing online research by the time they went to a dealer decided to buy the car they intended to purchase if companies want to influence the customer s purchase they need to do it much earlier in the so called customer journey 3a theory of business based on a static linear customer journey or one that prescribes a rigid customer experience no longer reflects reality the digitally shifting competitive landscapetraditionally a company s growth strategy was to become the market leader in its core market segments and then protect that position against competitors but that does not account for the fact that competitors now emerge from different segments in for example nokia was the top mobile phone manufacturer in the world it had a robust well funded r d function and seemingly unassailable scale in it still had over a third of the market 4after apple launched the iphone in and google s android operating system came online the next year nokia s theory of the business became instantly obsolete nokia was not defeated by another cell phone maker it lost market share to a computer company and an online firm apple and google developed technologies with an ecosystem that used the network effect which made them valuable in the eyes of the consumers 5a theory of business that fails to account for competitors emerging from entirely different sectors of the economy no longer reflects the reality of global competition due to powerful and fast evolving technologies easy access to capital and lower barriers to entry companies need to look beyond their segments and geographies to keep a weather eye out for fast emerging competitors the metamorphosis of marketsnokia s size did not protect it indeed scale long an axiomatic part of strategies designed to dominate markets has become less important and sometimes burdensome in part this is due to the increasing power of emerging markets by it is estimated that developing economies could account for nearly of global demand for manufactured goods 6increasingly this shift in demand is forcing companies to personalize their offerings for markets by focusing on regional production as have been the strategies of ikea p g emerson and others this new reality can be seen clearly in the pharmaceutical sector large regulatory agencies like the u s food and drug administration and the european medical agency have been promulgating faster approvals of new personalized medicines for unmet medical needs in small patient populations to take advantage of these new pathways drug developers must be able to respond rapidly to guidance from regulators smaller more agile companies unburdened by outdated workflows and less top heavy can make faster decisions and take advantage of regulator input more quickly than larger companies these small companies with one or two drugs in their pipelines can achieve enormous market valuations in short times they move faster because they are much lighter organizations than big pharma how to get smarter faster and lighterhow can companies change their theories of business to become smarter faster and lighter at the speed of these digitally driven transformations we explain how to do it in the three sections of this edition of perspectives getting smarterone of the themes of this section is that companies must harness artificial intelligence ai tcs harrick vin explains two key challenges that ai poses to companies in our interview with dartmouth professor vijay govindarajan he discusses how to accelerate culture changes of the type that digital technology is forcing companies to make tcs satya ramaswamy s harvard business review article reprinted here in perspectives explains one big change that nearly every company will have to make over the rest of the decade to get smarter listening and acting quickly upon the digital data that is streaming in from the wireless sensors they have installed in their products whether your company makes cars coffee machines or barbecues it must give special treatment to such internet of things data that shows how your products are performing for customers we also profile the associated press the year old news service that has been using ai to produce quarterly earnings stories without dedicating staff to write them by the end of the software was generating quarterly earnings stories covering all listed u s companies and some in canada that has freed up ap s human workforce to do the deeper enterprise reporting its member newspapers need however getting smarter through ai forces companies to get far better at analyzing the digital data that is coursing through their data centers in her article tcs lipika dey explains the new tools for doing such crucial analytics our interview with university of texas at austin professor prabhudev konana explores the metrics and skills necessary for analytics to have impact in an organization finally in this section the head of tcs banking financial services practice k krithivasan explains how banks and financial services firm are using analytics to make better decisions getting fasteras tonya mckinney and dave anderson explain in their article on dynamic customer journeys companies must design their customer journeys to respond to changes faster they must also change their journeys in an agile iterative fashion by monitoring every consumer channel and every touch point continuously tcs sunder singh and akhilesh tiwari discuss in their article how global companies are getting faster at implementing enterprise systems ajoy mukerjee tcs global head and vice president of human resources explores how big companies can identify the key talent they will need long before others do companies need to turn uncertainty about who the new competitors may be into their advantage as ceo consultant ram charan explains in our interview with him our case study on microsoft s embrace of machine learning shows how companies can gain share for instance the search engine market by adopting new approaches to enhance digital products at the end of this section the heads of tcs retail pratik pal and life sciences practices debashis ghosh explain how companies are getting quicker at understanding their performance for customers and integrating acquisitions getting lighterto get lighter companies need to embrace technologies that reduce their it burden and costs such as cloud computing automation and software as a service saas at the same time they should seek expertise of third parties without having to inflate their workforces this is what nidhi srivastava global head of it consulting at tcs examines in her article getting lighter places even greater demands on companies that make multiple acquisitions they need to quickly integrate the operations of their newly purchased companies for example in six months rather than years as tcs vice president of business consulting dave jordan lays out in his article merging it intensive operations is one of the best ways for two companies to shed excess weight business processes applications hardware and other infrastructure that are no longer necessary when one company is taken over by another companies that can profit from changing environments and are built to incorporate continuous transformations will be the ones all of us will be doing business with tomorrow and for the foreseeable future in our interview with professor jeanne ross of the mit sloan school she explains how digital companies are able to move at the speed of light and the lessons for established companies that now must become digital big data tool provider cloudera is using its own technology to identify the changes its customers must make on the systems it runs for them as its chief strategy officer mike olson explains in the case study on the company and the head of tcs manufacturing practice milind lakkad explains how manufacturers can lighten up their operations while remaining world class harvard business review the theory of business september october accessed july iri worldwide channel migration the road to growth has many lanes september october accessed july pr newswire for dealers online presence key to influencing car shoppers march accessed july gsmarena com the rise dominance and epic fall – a brief look at nokia s history august accessed july harvard business review adaptability the new competitive advantage july august accessed july mckinsey manufacturing the future november accessed july,the ascent of the smarter faster lighter enterprise,"['3a', 'a', 'an', 'on', 'at', 'is', 's', 'do', 'g', '–', 'by', 'to', 'be', 'or', 'no', 'in', 'so', 'b', 'as', 'if', 'of']",['of'],peter drucker legendary management scholar consultant noted harvard business review article assumption business make customer behavior competitor market constitute theory business theory company develops dictate it it it powerful tool guide enterprise however assumption longer reflect reality decision company make led profitability lead it astray failure change theory assumption undergird it align new reality drucker wrote root business crisis today customer behavior market competitor changed continue change rapidly business theory reflect reality long many company especially affected digitization everything crisis it need revise theory business become smarter faster lighter revolution customer behaviorhow much business theory changed decade look one aspect customer behavior shopping pattern consumer year ago shopper entered store choice limited shelf today armed smart mobile device enabled free pervasive wifi customer store compare price quality shelf entire universe competing productsobtain instant review product social medium channelstext friend experience product ask trusted stranger online consumer forumspurchase product store standing store aislethis complex path purchase promise grow varied le according study shopper interacted digitally prior shopping used digital device shopping process said planned near future one year later car buyer spent time purchasing vehicle online research time went dealer decided buy car intended purchase company want influence customer purchase need it much earlier called customer journey theory business based static linear customer journey one prescribes rigid customer experience longer reflects reality digitally shifting competitive landscapetraditionally company growth strategy become market leader core market segment protect position competitor account fact competitor emerge different segment example nokia top mobile phone manufacturer world it robust well funded function seemingly unassailable scale it still third market apple launched iphone google android operating system came online next year nokia theory business became instantly obsolete nokia defeated another cell phone maker it lost market share computer company online firm apple google developed technology ecosystem used network effect made valuable eye consumer theory business fails account competitor emerging entirely different sector economy longer reflects reality global competition due powerful fast evolving technology easy access capital lower barrier entry company need look beyond segment geography keep weather eye fast emerging competitor metamorphosis marketsnokia size protect it indeed scale long axiomatic part strategy designed dominate market become le important sometimes burdensome part due increasing power emerging market it estimated developing economy could account nearly global demand manufactured good increasingly shift demand forcing company personalize offering market focusing regional production strategy ikea emerson others new reality seen clearly pharmaceutical sector large regulatory agency like food drug administration european medical agency promulgating faster approval new personalized medicine unmet medical need small patient population take advantage new pathway drug developer must able respond rapidly guidance regulator smaller agile company unburdened outdated workflow le top heavy make faster decision take advantage regulator input quickly larger company small company one two drug pipeline achieve enormous market valuation short time move faster much lighter organization big pharma get smarter faster lighterhow company change theory business become smarter faster lighter speed digitally driven transformation explain it three section edition perspective getting smarterone theme section company must harness artificial intelligence ai tc harrick vin explains two key challenge ai pose company interview dartmouth professor vijay govindarajan discus accelerate culture change type digital technology forcing company make tc satya ramaswamy harvard business review article reprinted perspective explains one big change nearly every company make rest decade get smarter listening acting quickly upon digital data streaming wireless sensor installed product whether company make car coffee machine barbecue it must give special treatment internet thing data show product performing customer also profile associated press year old news service using ai produce quarterly earnings story without dedicating staff write end software generating quarterly earnings story covering listed company canada freed ap human workforce deeper enterprise reporting member newspaper need however getting smarter ai force company get far better analyzing digital data coursing data center article tc lipika dey explains new tool crucial analytics interview university texas austin professor prabhudev konana explores metric skill necessary analytics impact organization finally section head tc banking financial service practice krithivasan explains bank financial service firm using analytics make better decision getting fasteras tonya mckinney dave anderson explain article dynamic customer journey company must design customer journey respond change faster must also change journey agile iterative fashion monitoring every consumer channel every touch point continuously tc sunder singh akhilesh tiwari discus article global company getting faster implementing enterprise system ajoy mukerjee tc global head vice president human resource explores big company identify key talent need long others company need turn uncertainty new competitor may advantage ceo consultant ram charan explains interview case study microsoft embrace machine learning show company gain share instance search engine market adopting new approach enhance digital product end section head tc retail pratik pal life science practice debashis ghosh explain company getting quicker understanding performance customer integrating acquisition getting lighterto get lighter company need embrace technology reduce it burden cost cloud computing automation software service saas time seek expertise third party without inflate workforce nidhi srivastava global head it consulting tc examines article getting lighter place even greater demand company make multiple acquisition need quickly integrate operation newly purchased company example six month rather year tc vice president business consulting dave jordan lay article merging it intensive operation one best way two company shed excess weight business process application hardware infrastructure longer necessary one company taken another company profit changing environment built incorporate continuous transformation one u business tomorrow foreseeable future interview professor jeanne ross mit sloan school explains digital company able move speed light lesson established company must become digital big data tool provider cloudera using technology identify change customer must make system it run chief strategy officer mike olson explains case study company head tc manufacturing practice milind lakkad explains manufacturer lighten operation remaining world class harvard business review theory business september october accessed july iri worldwide channel migration road growth many lane september october accessed july pr newswire dealer online presence key influencing car shopper march accessed july gsmarena com rise dominance epic fall brief look nokia history august accessed july harvard business review adaptability new competitive advantage july august accessed july mckinsey manufacturing future november accessed july,ascent smarter faster lighter enterprise,CX
2,the software development community has been using the term agile for more than years but over the last decade agile approaches have jumped the tracks to the rest of the business world the reason is clear the success of large companies now depends on using digital technologies to reinvent their business models automate and monitor the performance of their products and services using embedded wireless sensors use technologies to bring intelligence and personalized interactions with customers and make all this possible by tapping into the huge on demand computing power of cloud providers each article in this issue of perspectives dissects today s urgent need for companies to have industrial strength capabilities in agile to manage their businesses we group the articles in three sections the essence of agilein embracing agility means agility by the business for the business nidhi srivastava of tcs discusses why big companies must embrace agile practices when they build new businesses design new business processes and develop the systems that support them as she explains a big reason is that digital natives companies born on the internet like google facebook uber airbnb and amazon have inherent advantages over older companies established companies need to get agile quickly to compete however srivastava also shows why they shouldn t attempt to make every part of their organization agile all at the same time instead they need to phase in agile approaches carefully the next article in this section explains how in the early days of agile software development the idea was to bring business people and software developers into the same room today that s a quaint notion agile teams in many enterprises stretch across time zones it s now unrealistic to expect all agile team members to sit side by side in their article how to make location independent agile work k subramanian and mohammed musthafa s explain how to make dispersed agile team members work as one it may seem like a 21st century phenomenon but the mandate for big companies to become more agile actually goes back decades as mit sloan school prof michael cusumano reminds us in our recent interview with him from making autos to making software the evolution of lean and agile in the 1980s japanese automobile manufacturers were producing cars faster on the assembly line than their u s and european peers with less labor and fewer defects all the while reducing the time it took to develop new models cusumano and his mit colleagues referred to these manufacturing methods as lean in many ways it was a precursor to agile software powerhouse microsoft which cusumano studied in the 1990s applied what are now called agile practices to designing and developing software before the authors of the agile manifesto put their label on the practice and posted their document in in our interview cusumano lays out what s new and old about agile applying agileinnovation is a fundamental reason why companies adopt agile management practices that is the ability to source promising ideas and turn them into new products services processes and even new businesses at lightning speed in their article enterprise agility pushing innovation to the edge of the organization tcs consultants courtney wood and apala mukherjee show why some of the best agile adopters have empowered their people on the front lines to identify new business opportunities if you think that agile is something everyone below you in your organization needs to learn but not you then think again in their article effective leadership of agile organizations building a culture of servant leadership nidhi srivastava and carl shea discuss why leaders of organizations that wish to become agile must absorb the mindsets and master the skills required to make those below them successful in the last article in this section we are honored to have a pioneer of silicon valley style lean and agile approaches he is steve blank a silicon valley entrepreneur who has been a cog in the wheel of the lean startup movement blank more recently has been teaching lean startup approaches to big longstanding organizations both in business and government he tells us about that in our interview with him the tall task of getting big companies and government to innovate like lean startups agile at worktaking the lead from the digital natives they increasingly compete against two industries have been at the forefront of adopting agile practices retail and financial services in their article how retail ceos can drive agile to grow their business rajashree r and pratik pal of tcs explain how several large retailers have used agile approaches to bring innovative business models business processes and customer offerings to market faster they show why taking half measures with agile don t go far enough in keeping retailers competitive because money essentially is a product that can be fully digital banks and financial services firms have been under attack for years from digitally savvy startups that have made mortgage and auto loans faster payments and payment processing easier and stock trades cheaper in their article fending off the fintechs how agile financial services firms are transforming their businesses tcs consultants ramanamurthy magapu and sathish sankaranarayanan explain how a number of established financial institutions have used agile approaches to strike back successfully they also explain how to get past the barriers that hold financial services firms from embracing agile practices finally in our last article why your agile team is better off dispersed the case for location independent agile i explain why large companies around the world now need to significantly scale up their agile approaches to process improvement product and service development and business model innovation i show why scaling up agile requires making it truly location independent,agile s day has truly arrived,"['a', 'u', 'we', 'k', 'i', 'on', 'at', 'is', 's', 'up', 'by', 'to', 'be', 'in', 'as', 'if', 'of']",['s'],software development community using term agile year last decade agile approach jumped track rest business world reason clear success large company depends using digital technology reinvent business model automate monitor performance product service using embedded wireless sensor use technology bring intelligence personalized interaction customer make possible tapping huge demand computing power cloud provider article issue perspective dissects today urgent need company industrial strength capability agile manage business group article three section essence agilein embracing agility mean agility business business nidhi srivastava tc discus big company must embrace agile practice build new business design new business process develop system support explains big reason digital native company born internet like google facebook uber airbnb amazon inherent advantage older company established company need get agile quickly compete however srivastava also show attempt make every part organization agile time instead need phase agile approach carefully next article section explains early day agile software development idea bring business people software developer room today quaint notion agile team many enterprise stretch across time zone it unrealistic expect agile team member sit side side article make location independent agile work subramanian mohammed musthafa explain make dispersed agile team member work one it may seem like st century phenomenon mandate big company become agile actually go back decade mit sloan school prof michael cusumano reminds u recent interview making auto making software evolution lean agile japanese automobile manufacturer producing car faster assembly line european peer le labor fewer defect reducing time it took develop new model cusumano mit colleague referred manufacturing method lean many way it precursor agile software powerhouse microsoft cusumano studied applied called agile practice designing developing software author agile manifesto put label practice posted document interview cusumano lay new old agile applying agileinnovation fundamental reason company adopt agile management practice ability source promising idea turn new product service process even new business lightning speed article enterprise agility pushing innovation edge organization tc consultant courtney wood apala mukherjee show best agile adopter empowered people front line identify new business opportunity think agile something everyone organization need learn think article effective leadership agile organization building culture servant leadership nidhi srivastava carl shea discus leader organization wish become agile must absorb mindset master skill required make successful last article section honored pioneer silicon valley style lean agile approach steve blank silicon valley entrepreneur cog wheel lean startup movement blank recently teaching lean startup approach big longstanding organization business government tell u interview tall task getting big company government innovate like lean startup agile worktaking lead digital native increasingly compete two industry forefront adopting agile practice retail financial service article retail ceo drive agile grow business rajashree pratik pal tc explain several large retailer used agile approach bring innovative business model business process customer offering market faster show taking half measure agile go far enough keeping retailer competitive money essentially product fully digital bank financial service firm attack year digitally savvy startup made mortgage auto loan faster payment payment processing easier stock trade cheaper article fending fintechs agile financial service firm transforming business tc consultant ramanamurthy magapu sathish sankaranarayanan explain number established financial institution used agile approach strike back successfully also explain get past barrier hold financial service firm embracing agile practice finally last article agile team better dispersed case location independent agile explain large company around world need significantly scale agile approach process improvement product service development business model innovation show scaling agile requires making it truly location independent,agile day truly arrived,Agile
3,many exciting new digital technologies have evolved rapidly this decade–potent mobile devices that perform a myriad of tasks big data and analytics tools that crunch petabytes of data and internet of things sensors that report continuously on everything from our cars to our coffee pots so it may surprise you that a far older technology–artificial intelligence ai –is poised to become the primary driver of business transformation by how can that be given that ai has occupied the pages of science fiction for at least years and technology labs for more than while it sounds old hat compared to emerging technologies ai is beginning to revolutionize the way companies do business that is why we see articles every week about what cognitive systems are achieving or can achieve driving cars without anyone in them over long stretches beating the world s best player at a complex game the asian game go is the latest outperforming surgeons at stitching up a pig and spitting out financial stories faster than even a big newsroom could it is also why new multibillion dollar businesses for services are flourishing–uber for taxis airbnb for booking rooms and the personal digital assistants of google microsoft amazon and others for sure they are capitalizing on a bunch of digital technologies but it is the modern strain of artificial intelligence or cognitive technologies if you prefer the more modern nomenclature which now makes them possible to put it succinctly the cognitive wave is here the question is whether your company is ready to ride it that is what this article will try to answer it will give you an overview of the technology and explain the two biggest challenges to using cognitive tools to transform your business in the years ahead the basics what is cognitive technology to understand why cognitive technologies will be transformative you first have to understand what they are and what they can do think of cognitive technologies as performing four core tasks senseuntil the last few years computers have been very poor at doing what humans do with ease scanning the environment around them and understanding the context the reason is that most computers had neither the capabilities nor the processing power to analyze anything but structured data by structured i mean the transaction data of a spreadsheet or database with numbers in it unstructured data is the source food for cognitive systems the text of a call center s transcript of a customer conversation the thousands of online articles published every day the static images of pictures and moving images of video and so on the world is full of digitized data today and it is doubling every two years according to idc 1between and it is predicted to increase ten fold but or more of it is unstructured which is one reason that only an estimated of digital data in could be analyzed but this is changing cognitive technologies can increasingly assimilate and mine unstructured data in a wide range of formats extract relevant information from them e g existence of a person or an animal in a picture or extracting sentiments from a blob of text handle multiple overlapping data sources and versions and perform data integrity and completeness checks among other tasks this kind of capability is opening up a complex new world of possibilities thinka cognitive system is not useful if it only recognizes data it must also decide what that data means and at the speed of light cognitive technologies use machine learning and deep learning techniques to analyze the context gleaned during the sense phase to understand and characterize normal behavior this is used to predict future system behavior under expected and anomalous conditions as well as produce actionable insights and recommendations actafter the system has arrived at some insights it needs to drive an automatic reaction that corrects things if a car manufacturer has trained an onboard system to sense electronic control data from its automobiles and discern when they are heading for mechanical problems the system must also figure out proactive actions to correct those problems and improve customer experience a driverless car is ai on four wheels an automobile that is continually sensing thinking and acting in order to avoid all the hazards of busy roads cognitive systems think and act like experts unlike a robot they do not need to be programmed with explicit instructions to perform actions in all possible contexts the system may encounter instead cognitive systems mimic the human brain they combine self learned context with reusable patterns to construct procedures to perform complex activities utilizing reusable simple skills learnthe best cognitive systems do not stop at acting on some data that they have analyzed through technologies such as machine learning they are able to continuously refine their knowledge and algorithmic models based on the real world outcomes from them like people cognitive systems need to be designed to learn from experience the systems experience most cognitive systems support two methods for continuous learning explicit training and observational self learning why is it important now the perfect storma new class of computer systems can now sense think act and learn why is that happening now and where is it all going it is happening now because what we are witnessing today is the perfect digital storm products processes and information systems today are getting hyper instrumented and hyper connected wireless sensors in devices ranging from mobile phones and cars to computer printers are reporting on their performance extensive networks are connecting everything big data and analytics technologies can crunch the data that is being emitted so all the technical elements of the perfect storm the digital technologies that can guide what people need to do are in place entrepreneurs like elon musk the connected self driving electric car travis kalanick uber and brian chesky and joe gebbia airbnb are the ones turning those perfect storm elements into viable new businesses that are giving entrenched industries a run for their money uber does not own taxis or taxi drivers they are contractors yet its latest round of fund raising valued it at more than billion in its revenues in its home san francisco market alone were more than three times what taxis were generating in the city clearly consumers are using uber much more than taxis for its convenience and other reasons clearly uber has seized the perfect storm of digital technologies and it is reshaping a century old industry is your industry next and if so is your company prepared preparing for the stormto be able to lead this cognitive wave companies will have to overcome several challenges they are many and disparate but you could group them into two broad categories technical challenges and people and safety challenges let us start with the technical ones oddly enough technical does not mean technology it is really about knowledge and how to codify it so you can train an ai system to do the task you want it to do whether it is to drive a car perform a surgery monitor and protect a household when the family is away or even at home and much more no matter how much sophisticated technology is in a cognitive system and how well it can sense think act and learn about some issue it will not be useful unless it can also collect and sense the right digital data think and act on that data and then perfect its learning for the future take the self driving automobile its developers whether they are at tesla or toyota must understand the physics of a car the physics of braking the physics of other objects such as other cars trucks deer and people that share the road with it the physics of weather and every part of the internal and external physical environment that enables the car to operate without colliding into something to cite one narrow slice of this how much braking should be applied in bad conditions such as rain or snow does it depend on the weight of the car yes the height of the car yes the speed of the car yes the road conditions yes and that in turn means the developers of the self driving car need to capture that knowledge coherently that is not the topic that most people talk about when discussing ai and cognitive technologies they are largely discussing the technology pieces the natural language software the image recognition technologies and so on that is all necessary but not sufficient you need to capture the domain knowledge necessary to train a car to drive as expertly and hopefully better than the most skillful drivers that is a huge barrier and it takes a huge amount of effort to overcome it the second challenge involves the people and safety issues the people issues are probably the most perplexing what new jobs might arise in that firm given that the doers of work can be liberated from those manual jobs and become creators and curators of knowledge tcs conducted a major study this year of what more than mostly big companies are doing with ai one big finding was that the companies getting the greatest value from the technology in terms of revenue and cost improvements can envision the technology both automating more jobs and creating additional new jobs as compared to the companies realizing less value from ai what happens to a company that can automate of its workforce through ai systems cognitive systems are about to unleash huge changes in big companies which i boil down to automating the work of the doers and liberating them to take on the new jobs of creation and curation of knowledge but that of course poses big questions for companies how do they determine which jobs can be automated how do they determine what the new jobs will be and then how do they retrain and redeploy people for those new jobs it figures to be a massive job and skill shift that will keep many chief hr officers awake at night history however does indicate that this problem is solvable a deloitte study found that during the past years new technologies have created more jobs than they have destroyed 4as for the safety issues how do we make products and processes powered by cognitive systems safe for people and for companies consider the self driving car example again when you design and develop the autonomous vehicle to avoid an accident if the choice is between the driver suffering in a crash or another car or pedestrian suffering which one does the system choose it is a huge ethical and probably legal dilemma the other safety issue is one we have heard about for decades computer security how do we build cognitive systems that cannot be hacked or at least easily hacked in our study this turned out to be the biggest challenge for the 800+ companies we surveyed and it is not likely to go away jumping on the waveexperienced surfers know how to time the waves just right the same will hold true with companies and cognitive systems but it is becoming more evident by the day that most large companies across most industries need to climb on top of that board now because the perfect conditions are here it is time to begin exploring and investing seriously and strategically in harnessing the power of cognitive systems to reimagine your business idc the digital universe of opportunities rich data and the increasing value of the internet of things april accessed july idc the digital universe of opportunities rich data and the increasing value of the internet of things april accessed july business insider uber ceo reveals mind boggling new statistic that skeptics should put in their pipes and smoke january accessed july deloitte technology and people the great job creating machine august accessed on july,riding the cognitive wave,"['a', 'we', 'e', 'an', 'on', 'at', 'is', 'do', 'g', 'by', 'to', 'be', 'or', 'no', 'in', 'so', 'as', 'if', 'of']",[],many exciting new digital technology evolved rapidly decade potent mobile device perform myriad task big data analytics tool crunch petabyte data internet thing sensor report continuously everything car coffee pot it may surprise far older technology artificial intelligence ai poised become primary driver business transformation given ai occupied page science fiction least year technology lab it sound old hat compared emerging technology ai beginning revolutionize way company business see article every week cognitive system achieving achieve driving car without anyone long stretch beating world best player complex game asian game go latest outperforming surgeon stitching pig spitting financial story faster even big newsroom could it also new multibillion dollar business service flourishing uber taxi airbnb booking room personal digital assistant google microsoft amazon others sure capitalizing bunch digital technology it modern strain artificial intelligence cognitive technology prefer modern nomenclature make possible put it succinctly cognitive wave question whether company ready ride it article try answer it give overview technology explain two biggest challenge using cognitive tool transform business year ahead basic cognitive technology understand cognitive technology transformative first understand think cognitive technology performing four core task senseuntil last year computer poor human ease scanning environment around understanding context reason computer neither capability processing power analyze anything structured data structured mean transaction data spreadsheet database number it unstructured data source food cognitive system text call center transcript customer conversation thousand online article published every day static image picture moving image video world full digitized data today it doubling every two year according idc it predicted increase ten fold it unstructured one reason estimated digital data could analyzed changing cognitive technology increasingly assimilate mine unstructured data wide range format extract relevant information existence person animal picture extracting sentiment blob text handle multiple overlapping data source version perform data integrity completeness check among task kind capability opening complex new world possibility thinka cognitive system useful it recognizes data it must also decide data mean speed light cognitive technology use machine learning deep learning technique analyze context gleaned sense phase understand characterize normal behavior used predict future system behavior expected anomalous condition well produce actionable insight recommendation actafter system arrived insight it need drive automatic reaction corrects thing car manufacturer trained onboard system sense electronic control data automobile discern heading mechanical problem system must also figure proactive action correct problem improve customer experience driverless car ai four wheel automobile continually sensing thinking acting order avoid hazard busy road cognitive system think act like expert unlike robot need programmed explicit instruction perform action possible context system may encounter instead cognitive system mimic human brain combine self learned context reusable pattern construct procedure perform complex activity utilizing reusable simple skill learnthe best cognitive system stop acting data analyzed technology machine learning able continuously refine knowledge algorithmic model based real world outcome like people cognitive system need designed learn experience system experience cognitive system support two method continuous learning explicit training observational self learning it important perfect storma new class computer system sense think act learn happening it going it happening witnessing today perfect digital storm product process information system today getting hyper instrumented hyper connected wireless sensor device ranging mobile phone car computer printer reporting performance extensive network connecting everything big data analytics technology crunch data emitted technical element perfect storm digital technology guide people need place entrepreneur like elon musk connected self driving electric car travis kalanick uber brian chesky joe gebbia airbnb one turning perfect storm element viable new business giving entrenched industry run money uber taxi taxi driver contractor yet latest round fund raising valued it billion revenue home san francisco market alone three time taxi generating city clearly consumer using uber much taxi convenience reason clearly uber seized perfect storm digital technology it reshaping century old industry industry next company prepared preparing stormto able lead cognitive wave company overcome several challenge many disparate could group two broad category technical challenge people safety challenge let u start technical one oddly enough technical mean technology it really knowledge codify it train ai system task want it whether it drive car perform surgery monitor protect household family away even home much matter much sophisticated technology cognitive system well it sense think act learn issue it useful unless it also collect sense right digital data think act data perfect learning future take self driving automobile developer whether tesla toyota must understand physic car physic braking physic object car truck deer people share road it physic weather every part internal external physical environment enables car operate without colliding something cite one narrow slice much braking applied bad condition rain snow it depend weight car yes height car yes speed car yes road condition yes turn mean developer self driving car need capture knowledge coherently topic people talk discussing ai cognitive technology largely discussing technology piece natural language software image recognition technology necessary sufficient need capture domain knowledge necessary train car drive expertly hopefully better skillful driver huge barrier it take huge amount effort overcome it second challenge involves people safety issue people issue probably perplexing new job might arise firm given doer work liberated manual job become creator curator knowledge tc conducted major study year mostly big company ai one big finding company getting greatest value technology term revenue cost improvement envision technology automating job creating additional new job compared company realizing le value ai happens company automate workforce ai system cognitive system unleash huge change big company boil automating work doer liberating take new job creation curation knowledge course pose big question company determine job automated determine new job retrain redeploy people new job it figure massive job skill shift keep many chief hr officer awake night history however indicate problem solvable deloitte study found past year new technology created job destroyed safety issue make product process powered cognitive system safe people company consider self driving car example design develop autonomous vehicle avoid accident choice driver suffering crash another car pedestrian suffering one system choose it huge ethical probably legal dilemma safety issue one heard decade computer security build cognitive system cannot hacked least easily hacked study turned biggest challenge company surveyed it likely go away jumping waveexperienced surfer know time wave right hold true company cognitive system it becoming evident day large company across industry need climb top board perfect condition it time begin exploring investing seriously strategically harnessing power cognitive system reimagine business idc digital universe opportunity rich data increasing value internet thing april accessed july idc digital universe opportunity rich data increasing value internet thing april accessed july business insider uber ceo reveals mind boggling new statistic skeptic put pipe smoke january accessed july deloitte technology people great job creating machine august accessed july,riding cognitive wave,AI
