product_name,description,category,cleaned_description
d-link dap1320,"  d-link dap1320 qrs app(ios,android),specifications of d-link dap1320 (white) speed wireless speed 300 mbps dsl modem speed 300 mbps general brand d-link in the box extender plug model dap1320 type range extenders/repeaters color white warranty covered in warranty no damage warranty summary 3years service type no damage not covered in warranty damaged will not repair dimensions weight 69 g connectivity number of antennae 2 number of usb ports 0 antennae internal supported protocols standard ieee ieee 802.11n/g/b operating conditions operating humidity operating: 10% to 90% non-condensing // storage: 5% to 95% non-condensing temperature operating: 0 to 40 °c (32 to 104 °f)//storage: -20 to 65 °c (-4 to 149 °f) degree c additional features certification fcc, ic, ce",router,link dap qrs app io android specification link dap white speed wireless speed mbps dsl modem speed mbps general brand link box extender plug model dap type range extenders repeater color white warranty covered warranty damage warranty summary year service type damage covered warranty damaged repair dimension weight connectivity number antenna number usb port antenna internal supported protocol standard ieee ieee operating condition operating humidity operating non condensing storage non condensing temperature operating storage degree additional feature certification fcc ic ce
jrb 1038 smallest mobile powered by otg enabled android smart phone portable 1038 usb fan,"  jrb 1038 smallest mobile powered by otg enabled android smart phone portable 1038 usb fan system requirements: otg enabled android smart phone material: plastic,specifications of jrb 1038 smallest mobile powered by otg enabled android smart phone portable 1038 usb fan (multicolor) general brand jrb type usb fan model name 1038 smallest mobile powered by otg enabled android smart phone material plastic system requirements otg enabled android smart phone model id portable 1038 color multicolor in the box sales package 1 micro usb fan",usb_accessories,jrb smallest mobile powered otg enabled android smart phone portable usb fan system requirement otg enabled android smart phone material plastic specification jrb smallest mobile powered otg enabled android smart phone portable usb fan multicolor general brand jrb type usb fan model name smallest mobile powered otg enabled android smart phone material plastic system requirement otg enabled android smart phone model id portable color multicolor box sale package micro usb fan
vency creation a02 usb a110 led light,"  vency creation a02 usb a110 led light system requirements: usb 2.0 material: plastic,specifications of vency creation a02 usb a110 led light (black) general brand vency creation type led light system requirements usb 2.0 material plastic model name a02 model id usb a110 color black in the box sales package led light",led light,vency creation usb led light system requirement usb material plastic specification vency creation usb led light black general brand vency creation type led light system requirement usb material plastic model name model id usb color black box sale package led light
jrb 1033 smallest mobile powered by otg enabled android smart phone portable 1033 usb fan,"  jrb 1033 smallest mobile powered by otg enabled android smart phone portable 1033 usb fan system requirements: otg enabled android smart phone material: plastic,specifications of jrb 1033 smallest mobile powered by otg enabled android smart phone portable 1033 usb fan (multicolor) general brand jrb type usb fan system requirements otg enabled android smart phone material plastic model name 1033 smallest mobile powered by otg enabled android smart phone model id portable 1033 color multicolor in the box sales package 1 micro usb fan",usb_accessories,jrb smallest mobile powered otg enabled android smart phone portable usb fan system requirement otg enabled android smart phone material plastic specification jrb smallest mobile powered otg enabled android smart phone portable usb fan multicolor general brand jrb type usb fan system requirement otg enabled android smart phone material plastic model name smallest mobile powered otg enabled android smart phone model id portable color multicolor box sale package micro usb fan
shopizone bmw wheel 32 gb  pen drive,"  shopizone bmw wheel 32 gb  pen drive case material: rubber interface: usb 2.0 operating system: windows xp, vista,shopizone bmw wheel 32 gb  pen drive (black) price: rs. 999 this is a 32 gb pen drive. cool and flaunty. these are basically pen drive who are disguised as superheroes. adorable and cute. this works with all the operating systems and is handy and strong. add bling and style to your pen drive with shopizone’s funky & innovative collection of 32gb flash drives for all age groups!,specifications of shopizone bmw wheel 32 gb  pen drive (black) general specifications interface usb 2.0 brand shopizone capacity (gb) 32 gb model bmw wheel case material rubber os supported windows xp, vista usb on the go no color black dimensions weight 100 g in the box 1 pendrive",data storage,shopizone bmw wheel gb pen drive case material rubber interface usb operating system window xp vista shopizone bmw wheel gb pen drive black price gb pen drive cool flaunty basically pen drive disguised superheroes adorable cute work operating system handy strong add bling style pen drive shopizone funky innovative collection gb flash drive age group specification shopizone bmw wheel gb pen drive black general specification interface usb brand shopizone capacity gb gb model bmw wheel case material rubber supported window xp vista usb go color black dimension weight box pendrive
i ball ibctdc 160/2gb/ddr2 with dual core 2 ram 160 hard disk,"specifications of i ball ibctdc 160/2gb/ddr2 with dual core 2 ram 160 hard disk (free dos) performance features processor speed 2.33 ghz processor name intel processor type dual core number of cores 2 general brand i ball operating system free dos graphics memory na gb model name ibctdc 160/2gb/ddr2 graphics intel onboard system memory and storage features memory technology ddr2 ram 2 gb hard disk capacity 160 gb warranty covered in warranty all parts of the product service type 1 year domestic warranty warranty summary 1 year domestic warranty covered for all parts of the product not covered in warranty burning or physically damaged dimensions weight 5 kg height 50 cm width 40 cm depth 30 cm in the box sales package cpu, driver cd, power cable",data storage,specification ball ibctdc gb ddr dual core ram hard disk free do performance feature processor speed ghz processor name intel processor type dual core number core general brand ball operating system free do graphic memory na gb model name ibctdc gb ddr graphic intel onboard system memory storage feature memory technology ddr ram gb hard disk capacity gb warranty covered warranty part product service type year domestic warranty warranty summary year domestic warranty covered part product covered warranty burning physically damaged dimension weight kg height cm width cm depth cm box sale package cpu driver cd power cable
leoxsys leo-150n-3g-ad,  leoxsys leo-150n-3g-ad only for rs. 0.0 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,router,leoxsys leo ad flipkart com genuine product day replacement guarantee free shipping cash delivery
netgear r6220 ac1200 dual band gigabit wi-fi router,  netgear r6220 ac1200 dual band gigabit wi-fi router only for rs. 5199 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,router,netgear ac dual band gigabit wi fi router flipkart com genuine product day replacement guarantee free shipping cash delivery
merlin wifi n repeater,  merlin wifi n repeater only for rs. 2195 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,router,merlin wifi repeater flipkart com genuine product day replacement guarantee free shipping cash delivery
tenda 3g150b,  tenda 3g150b only for rs. 3000 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,router,tenda flipkart com genuine product day replacement guarantee free shipping cash delivery
