product_name,description,category,subcategory
D-Link DAP1320,"Key Features of D-Link DAP1320 QRS app(iOS,Android),Specifications of D-Link DAP1320 (White) Speed Wireless Speed 300 Mbps DSL Modem Speed 300 Mbps General Brand D-Link In The Box Extender Plug Model DAP1320 Type Range Extenders/Repeaters Color White Warranty Covered in Warranty No damage Warranty Summary 3years Service Type No damage Not Covered in Warranty damaged will not repair Dimensions Weight 69 g Connectivity Number of Antennae 2 Number of USB Ports 0 Antennae Internal Supported Protocols Standard IEEE IEEE 802.11n/g/b Operating Conditions Operating Humidity Operating: 10% to 90% non-condensing // Storage: 5% to 95% non-condensing Temperature Operating: 0 to 40 °C (32 to 104 °F)//Storage: -20 to 65 °C (-4 to 149 °F) degree C Additional Features Certification FCC, IC, CE","[""Computers ",Router
RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard,"Key Features of RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard Size: Handheld,RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard (White) Price: Rs. 399 Working Environment. It Fits Easily In Your Briefcase Or Backpack. The Keyboard Can Be Cleaned With Water, Alcohol Or Disinfectant To Help Prevent The Spread Of The Disease And Germs. It Is Suitable For Public Place Use Such As School, Restaurant, Or Hospital Where Clean Keyboard Is A Requirement. This Sealed Keyboard Can Be Easily Cleaned, Also Good For Use In Dusty Area Such As Factory, Or Outdoor. Quiet Keystroke Is A Good Match For Library Use. If You Are Not Used To This Keyboard, You May Push These Keys A Tiny Bit Harder To Get Output. Dustproof Washable Usb Plug Weight: 0.45lbs (200g) Operation Temperature Is -20c- +60c. Storage Temperature Is -30c - +70c,Specifications of RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard (White) General Specifications Interface Wired USB Brand RoQ Model Slim Multimedia 105key Flexible Sales Package 1 keyboard Type Flexible Keyboard Model Name Slim Multimedia Flexible Keyboard Color White Size Handheld Warranty Covered in Warranty Manufacturing Damage Warranty Summary 10 day's Replacement Warranty Service Type Replacement Not Covered in Warranty Physical Damage","[""Computers ",Keyboard
cm key 354 Wired USB Tablet Keyboard,"Key Features of cm key 354 Wired USB Tablet Keyboard Size: Standard,Specifications of cm key 354 Wired USB Tablet Keyboard (Black) General Specifications Interface Wired USB Brand cm Model key 354 Sales Package keyboard, USBconnector Type Tablet Keyboard Model Name key 354 Size Standard Color Black Warranty Covered in Warranty na Warranty Summary 0 Warranty Service Type na Not Covered in Warranty na","[""Computers ",Keyboard
JRB 1038 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1038 USB Fan,"Key Features of JRB 1038 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1038 USB Fan System Requirements: OTG Enabled Android Smart Phone Material: Plastic,Specifications of JRB 1038 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1038 USB Fan (Multicolor) General Brand JRB Type USB Fan Model Name 1038 Smallest Mobile Powered By OTG Enabled Android Smart Phone Material Plastic System Requirements OTG Enabled Android Smart Phone Model ID Portable 1038 Color Multicolor In the Box Sales Package 1 MICRO USB FAN","[""Computers ",USB Fan
JRB 1019 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1019 USB Fan,"Key Features of JRB 1019 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1019 USB Fan System Requirements: OTG Enabled Android Smart Phone Material: Plastic,Specifications of JRB 1019 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1019 USB Fan (Multicolor) General Brand JRB Type USB Fan Model Name 1019 Smallest Mobile Powered By OTG Enabled Android Smart Phone Material Plastic System Requirements OTG Enabled Android Smart Phone Model ID Portable 1019 Color Multicolor In the Box Sales Package 1 MICRO USB FAN","[""Computers ",USB Fan
vency creation A02 usb a110 Led Light,"Key Features of vency creation A02 usb a110 Led Light System Requirements: USB 2.0 Material: plastic,Specifications of vency creation A02 usb a110 Led Light (Black) General Brand vency creation Type Led Light System Requirements USB 2.0 Material plastic Model Name A02 Model ID usb a110 Color Black In the Box Sales Package Led Light","[""Computers ",Led Light
JRB 1033 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1033 USB Fan,"Key Features of JRB 1033 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1033 USB Fan System Requirements: OTG Enabled Android Smart Phone Material: Plastic,Specifications of JRB 1033 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1033 USB Fan (Multicolor) General Brand JRB Type USB Fan System Requirements OTG Enabled Android Smart Phone Material Plastic Model Name 1033 Smallest Mobile Powered By OTG Enabled Android Smart Phone Model ID Portable 1033 Color Multicolor In the Box Sales Package 1 MICRO USB FAN","[""Computers ",USB Fan
JRB 1042 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1042 USB Fan,"Key Features of JRB 1042 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1042 USB Fan System Requirements: OTG Enabled Android Smart Phone Material: Plastic,Specifications of JRB 1042 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1042 USB Fan (Multicolor) General Brand JRB Type USB Fan System Requirements OTG Enabled Android Smart Phone Material Plastic Model Name 1042 Smallest Mobile Powered By OTG Enabled Android Smart Phone Model ID Portable 1042 Color Multicolor In the Box Sales Package 1 MICRO USB FAN","[""Computers ",USB Fan
Eureka.in GSEB Class VII,"Key Features of Product The graphically rich 3D audio-video captures complete attention which leads to a good understanding of the subject Concepts that are not understood through text are easily understood through videos Well-designed complete learning modules for each topic Student centric learning management software helps learner to improve his learning outcomes with least effort Complete and comprehensive curriculum coverage,Eureka.in GSEB Class VII (Pen drive) Price: Rs. 2,999 Our premium product, Eureka.in for class VII Science (GSEB board) offers high quality 3d learning content, will surely help students to improve their performance in exams. It will also help them to lay a solid foundation for future learning challenges.,Specification of Product General Subjects Science, Mathematics Brand Eureka.in Num Of Disks 1 Classes 7 Sales Package High quality 3d animated videos, Interactive 3d simulations, Script, Interactive learning quiz, Web links, Many other attractive features. Type Visual Media Model Name GSEB Class VII Education Board Gujarat Secondary Education Board Subscription Validity 1 Year Model Id GB-07 Features 296 High quality 3d animated videos, 145 Interactive & 3d simulations, Script, Interactive learning quiz, Web links, Many other attractive features System Requirements Memory 2 GB RAM, 32GB space in Harddisk Operating System Windows 7 32/64,, Windows 8 32/64, Windows 8.1 32/72 Other Requirements Graphics Card:Nvidia Geforce 9400 or compatible, Sound Card & Speakers: Stereo sound card and speakers, LAN: 1 GB per second Hard Drive 32 GB Processor Core 2 Duo processor 1.86 GHz or above","[""Computers ",Software
Transcend MP 870 8 GB MP4 Player,Buy Transcend MP 870 8 GB MP4 Player only for Rs. 3550 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Computers ",MP4 Player
