title,description,description_bottom,category
SAMSUNG 870 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-77E1T0B/AM),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) THE SSD ALL-STAR: The latest 870 EVO has indisputable performance, reliability and compatibility built upon Samsung's pioneering technology EXCELLENCE IN PERFORMANCE: Enjoy professional level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds, accelerates write speeds and maintains long term high performance with a larger variable buffer INDUSTRY DEFINING RELIABILITY: Meet the demands of every task from everyday computing to 8K video processing, with up to 2,400 TBW under a 5 year limited warranty MORE COMPATIBLE THAN EVER: 870 EVO has been compatibility tested for major host systems and applications, including chipsets, motherboards, NAS, and video recording devices UPGRADE WITH EASE: Simply plug 870 EVO into the standard 2.5 inch SATA form factor on your desktop PC or laptop and let the renewed migration software takes care of the rest SAMSUNG MAGICIAN SOFTWARE: Make your drive work smoothly with enhanced Samsung Magician 6 software that helps you easily manage your drive, keep up with the latest updates, monitor the drive's health and status, or even enhance its performance","Capacity: 1TB The latest 870 EVO has indisputable performance, reliability and compatibility built upon Samsung's pioneering technology. *Performance may vary based on SSD’s firmware version and system hardware & configuration. Sequential write performance measurements are based on Intelligent TurboWrite technology. Test system configuration: Intel Core i7-7700K CPU @ 4.20GHz, DDR4 1200MHz 32GB, OS – Windows 10 Pro x64, Chipset: ASUS PRIME Z270-A. All performance data was measured with the SSD as a secondary **Warrantied TBW (terabytes written) for 870 EVO: 150 TBW for 250 GB model, 300 TBW for 500 GB model, 600 TBW for 1 TB model, 1,200 TBW for 2 TB model and 2,400 TBW for 4 TB model. ***5-years or TBW, whichever comes first. For more information on the warranty, please find the enclosed warranty statement in the package. ****Compatibility tests conducted with Samsung internal, AMD, MSI, Gigabyte, Synology, QNAP, BlackMagicDesign and ATMOS.",data storage
"SAMSUNG 860 QVO 1TB Solid State Drive (MZ-76Q1T0B/AM) V-NAND, SATA 6Gb/s, Quality and Value Optimized SSD","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Value optimized SSD: Built with Samsung V-NAND Technology, the 860 QVO SSD gives you huge storage, solid performance and reliability with exceptional value Enhanced read write speeds: Sequential read and write performance levels of up to 550MB/s and 520MB/s, respectively Intelligent Turbowrite: Accelerates write speeds and maintains long-term high performance with a larger variable buffer Secure encryption: Protect data by selecting security options, including AES 256-bit hardware-based encryption compliant with TCG Opal and IEEE 1667 Warranty and compatibility: 3-year limited warranty; Interface: SATA 6 Gb/s interface, compatible with SATA 3 Gb/s & SATA 1.5 Gb/s interface","Capacity: 1TB | 

Pattern Name: Single Boot up 4x faster than conventional hard disk drives. Store hours of 4K videos and thousands of photos with terabyte-level storage. Protected by a 3-year warranty.",data storage
Samsung Electronics Samsung 850 Pro-Series 2.534; 128GB SATA III Internal Solid State Drive Single Unit Version MZ-7KE128BW 128 sata_6_0_gb 2.5-Inch MZ-7KE128BW,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) The World's First Consumer SSD Powered by Samsung V-NAND Technology, Ideal for Hardcore PC Gamers, Heavy PC Users, Business Professional Ultimate Sequential Read/Write Performance : Up to 550MB/s and 470MB/s Respectively, and Random Read/Write IOPS Performance : Up to 100K and 90K Respectively Performance, Reliability, Energy Efficiency, and Industry-Leading 10-year Limited Warranty Included Contents: 2.5” (7mm) SATA III (6GB/s) SSD & User Manual (All Other Cables, Screws, Brackets Not Included). Free download of Samsung Data Migration and Magician software available for easy installation and SSD management Windows 10/8/7/Vista SP1 and above (32/64 bit), Widows Server 2008 (32/64 bit), Linux Compatible.","Product Description The Samsung 850 PRO will keep you working with the efficiency of what you would expect from a solid state drive.Magician software gives you the option to enhance your performance, performing 1.8 times faster in the RAPID mode. Get enhance performance,lower power consumption with LPDDR2 DRAM cache memory and Samsung 3-core MEX controller. This is an ideal solution for business professionals and PC Gamers. There is no comparison with the increased load times and the reliability you get from a solid state drive of this caliber. Seller Warranty Description 10 Years/150TBW",data storage
Samsung SMX-K45 Up-scaling HDMI Camcorder with 32 GB SSD Flash Drive with 52x Optical Zoom (Blue) (Discontinued by Manufacturer),,"Color: Blue From the Manufacturer With Samsung's new K-Series camcorders, you can enjoy near full-HD quality video for the price of a standard definition camcorder. The SMX-K45 records exceptional standard definition video at a resolution of 720 x 480, and then can be played back on an HDTV in near full-HD quality thanks to advanced upscaling technology and HDMI connectivity. With a built-in HDMI output on the camera and HDMI cable (sold separately), simply connect the camcorder directly to an HDTV for near full-HD playback. The SMX-K45 also offer ones of Samsung's most powerful zoom lenses. You have a 65x Intelli-Zoom at their fingertips which drastically enhances the ability to capture any moment, no matter how far away you may be. Significantly more reliable than a standard digital zoom, which negatively affects the quality of the image, Samsung's new Intelli-Zoom allows you to go beyond the camcorder's 52x optical zoom. The K-Series also features Samsung's advanced Optical Image Stabilizer, ensuring that video will be shake-free, whether zoomed out or using the camcorder at it's full 65x Intelli-Zoom. Furthermore, the camcorder's world class Schneider-KREUZNACH lens delivers the quality and performance needed to help capture the most impressive video possible. The SMX-K45 offers an internal 32GB Solid State Drive (SSD), providing up to 20 hours and 40 minutes of recording time depending on the recording mode. Samsung's renowned SSD technology offers a substantial advantage over the use of Hard Disk Drives (HDD) in a digital camcorder. SSD is more energy efficient, produces very low heat emission, and is faster and more durable than HDD because there are no moving parts. The new SMX-K45 follows in the footsteps of the SMX-C14 and SMX-C10 and boasts several unique features which differentiate them from the competition and make video recording even more enjoyable. Such features include Samsung's built-in intelli-studio software, animated thumbnails, and a versatile charging system. No longer do you need to worry about being near a computer in order to edit or share video. The K-Series all feature Samsung's play-edit-sharing program called intelli studio. The built-in intelli-studio program allows you to turn any computer into a mobile studio, offering the ability to edit and play video without having to install supporting software. Sharing is also simplified using intelli-studio as the program takes the hassle out of uploading content to popular video sharing Web sites. Samsung's animated thumbnail feature simplifies the way users search for video clips. Each video clip saved on the camcorder is represented by a small thumbnail on the LCD screen. When scrolling through one's videos, each thumbnail will provide a short playback of the video file when highlighted by the user. The SMX-K45 also features a versatile charging system. Recharge the battery by simply connecting the camcorder to the supplied AC adapter or via USB while the camcorder is connected to a computer.",data storage
"Samsung 4K NVR, no HDD, supports: 4 channels XRN-410S",,"4K NVR, no HDD, supports: 4 channels with 4 PoE/PoE+ ports, H.265/H.264/MJPEG, ARB (Automatic Recovery Backup), 1 fixed internal SATA HDDs (8TB max), e-SATA/iSCSI storage, WiseStream technology, max. resolution of 8MP recording/display",data storage
Samsung 983 DCT Series SSD 960GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology for Business (MZ-1LB960NE),"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) HIGH-PERFORMANCE BUSINESS SOLUTION: With Samsung proprietary 3-bit MLC V-NAND, the 983 DCT is the solution to achieving high responsiveness in data centers and servers requiring accelerated performance, enabling your business to excel in handling big data BLAZING FAST READ WRITE SPEEDS: Sequential read/write speeds of up to 3,000/1,430MB/s, respectively, and random read/write speeds of up to 480K/42K IOPS are ideal for handling massive amounts of data ADVANCED ECC ENGINE: End-to-end data protection to help ensure consistency over the entire data transfer path; Secure data without performance degradation thanks to AES 256-bit encryption POWER-LOSS PROTECTION: Advanced power-loss protection helps to prevent data corruption in the case of power failure. Power Consumption (W) Active (Read/Write): 7.5 W / 7.2 W and Idle: Max. 2.6 W 5-YEAR LIMITED WARRANTY: 5-year limited warranty","Model name: MZ-1LB960NE The Samsung 983 DCT Series SSD NVMe with V-NAND Technology is a high-performance solution for servers that need enhanced data reliability to safeguard critical data from content delivery networks (CDNs) to big data, artificial intelligence (AI) and Internet of Things (IoT) applications. Available in two form factors, U.2 and M.2., the 983 DCT’s NVMe interface empowers blazing-fast speed, high responsiveness and a high Quality of Service (QoS). And with power-loss protection and end-to-end data protection, you get a highly reliable enterprise storage solution backed by a 5-year limited warranty up to 2,733 TBW.",data storage
Samsung DB96-06739A Assembly-Valve Eev,"This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Country of Origin: UNITED STATES The Package Length of the product is 13 inches The Package Width of the product is 10 inches The Package Height of the product is 3 inches  See more product details",This is an authorized aftermarket product. Fits with various Samsung brand models. It has a oem part # DB96-06739A.,data storage
Samsung DC92-00212D Assembly PCB Main,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) This is an O.E.M. Authorized part Fits with various Samsung brand models Oem part DC92-00212D Country of Origin:United States  See more product details",This is an authorized aftermarket product. Fits with various Samsung brand models. It has a oem part # DC92-00212D.,data storage
Samsung DC92-00420A Assembly PCB Main,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) This is an O.E.M. Authorized part Fits with various Samsung brand models OEM part # DC92-00420A Brand: Samsung  See more product details",This is an authorized aftermarket product. Fits with various Samsung brand models. It has a oem part # DC92-00420A.,data storage
Samsung BA59-02761E Hdd-Hdd,"This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) This is an O.E.M. Authorized part Fits with various Samsung brand models Oem part # BA59-02761E Package dimensions:8.0""L x 7.0""W x 2.0""H  See more product details",This is an authorized aftermarket product. Fits with various Samsung brand models. It has a oem part # BA59-02761E.,data storage
