"asset_id","asset_title","asset_download_url","published_on","popularity_rank","related_asset_ids"
"1","The Ascent Of The Smarter, Faster, Lighter Enterprise","/content/dam/tcs/pdf/perspectives/the-ascent-of-the-smarter-faster-lighter-enterprise.pdf","2016-08-21 00:00:00","6","3,4,46"
"2","Agile's Day Has Truly Arrived","/content/dam/tcs/pdf/perspectives/edition-11-agiles-day-has-truly-arrived.pdf","2017-07-31 00:00:00","1.5","30,31,52"
"3","Riding the Cognitive Wave","/content/dam/tcs/pdf/perspectives/edition-8-riding-the-cognitive-wave.pdf","2017-07-31 00:00:00","0.9","4,46,6"
"4","Using IOT Data To Understand How Your Products Perform","/content/dam/tcs/pdf/perspectives/edition-8-using-iot-data-to-understand-how-your-products-perform.pdf","2017-07-27 00:00:00","1.9","46,6,47"
"5","The View Inside Our Take on the Customer Experience Revolution","/content/dam/tcs/pdf/perspectives/Edition-9-our-take-on-the-customer-experience-revolution.pdf","2017-06-25 00:00:00","0.4","12,49,14"
"6","Smarter Decisions:  How Smart Companies Get More Value From Analytics","/content/dam/tcs/pdf/perspectives/edition-8-smarter-decisions-how-smart-companies-get-more-value-from-analytics.pdf","2017-07-24 00:00:00","0.9","47,7,8"
"7","Case Study: Why Artificial Intelligence is a Big Part of AP’s Future","/content/dam/tcs/pdf/perspectives/edition-8-why-artificial-intelligence-is-a-big-part-of-aps-future.pdf","2017-07-24 00:00:00","1.4","8,9,10"
"8","Banking and Financial Services Analytics for Competitive Advantage ","/content/dam/tcs/pdf/perspectives/edition-8-analytics-for-competetive-advantage.pdf","2017-07-24 00:00:00","4","9,10,11"
"9","How to Keep Your Customer Journey from Passing Its Sell-By Date","/content/dam/tcs/pdf/perspectives/edition-8-how-to-keep-your-customer-journey-from-passing-its-sell-by-date.pdf","2017-07-24 00:00:00","0.1","10,11,48"
"10","Accelerated Change: Getting Faster at Implementing Enterprise Systems","/content/dam/tcs/pdf/perspectives/edition-8-accelerated-change-getting-faster-at-implementing-enterprise-system.pdf","2017-07-24 00:00:00","0.4","11,48,13"
"11","Winning Today’s Talent Race How to Identify, Develop, and Retain Talent Better Than Your Rivals","/content/dam/tcs/pdf/perspectives/edition-8-winning-todays-talent-race.pdf","2017-07-24 00:00:00","2.3","48,13,15"
"12","Forget Everything You Know About Bricks and Clicks ","/content/dam/tcs/pdf/perspectives/edition-9-forget-everything-you-know-about-bricks-and-clicks.pdf","2017-06-23 00:00:00","0.2","49,14,16"
"13","How Microsoft Uses Machine Learning to Handle Workloads That Humans Cannot","/content/dam/tcs/pdf/perspectives/edition-8-how-microsoft-uses-machine-learning-to-handle-workloads-that-humans-cannot.pdf","2017-07-23 00:00:00","0.9","15,21,24"
"14","When CX Should Begin with Tweaks, Not Disruption","/content/dam/tcs/pdf/perspectives/edition-9-when-cx-should-begin-with-tweaks-not-disruption.pdf","2017-06-22 00:00:00","","16,17,18"
"15","Retail: Understanding Your Customer Performance Faster ","/content/dam/tcs/pdf/perspectives/edition-8-understanding-your-customer-performance-faster.pdf","2017-07-22 00:00:00","2.6","21,24,26"
"16","The Seven Deadly Myths of Today’s B2B Sell","/content/dam/tcs/pdf/perspectives/edition-9-the-seven-deadly-myths-of-todays-b2b-sell.pdf","2017-06-22 00:00:00","0.3","17,18,19"
"17","Personalization Boundaries: Tuning In to Customers Without Turning Them Off","/content/dam/tcs/pdf/perspectives/edition-9-personalization-boundaries-tuning-into-customers-without-turning-them-off.pdf","2017-07-21 00:00:00","0.1","18,19,20"
"18","Designing for the Small Silver Screen","/content/dam/tcs/pdf/perspectives/edition-9-designing-for-the-small-silver-screen.pdf","2017-06-21 00:00:00","0.3","19,20,41"
"19","How IoT Technologies are Revamping the Post-Sale Experience","/content/dam/tcs/pdf/perspectives/edition-9-how-iot-technologies-are-revamping-the-post-sale-experience.pdf","2017-06-21 00:00:00","0.7","20,41,50"
