"author_id","author_name"
"1","Krishnan Ramanujam"
"2","Dr. Harrick Vin"
"4","Dr. Lipika Dey"
"5","K Krithivasan"
"6","Tonya McKinney"
"7","Dave Anderson"
"8","Sunder Singh"
"9","Akhilesh Tiwari "
"11","Jim Walb"
"12","Dave Nelson"
"13","Paul Ignasinski"
"14","Pratik Pal"
"15","Lisa Hager"
"16"," J. Keith Wheeler"
"17","Oghie Ojior"
"18","Skip Vanderburg"
"19","Gill Hide"
"20","Alex Prigojine"
"21","Robert Perry"
"22","Rohit Kale"
"23","Baskar Natarajan "
"24","Debashis Ghosh"
"25","Antony Grigg"
"26","Steve Goren"
"28","Nidhi Srivastava"
"29","Dave Jordan"
"30","Milind Lakkad"
"31","K. Subramanian"
"32","Mohammed Musthafa Soukath Ali"
"33","Apala Mukherjee"
"34","Courtney Wood"
"35","Carl Shea"
"36","Rajashree R"
"37","RamanaMurthy Magapu "
"38","Sathish Sankaranarayanan"
"39","Ashok Pai"
"40","Krishna Mohan"
"41","Sreenivasa Chakravarti"
"42","Anurag Jain"
"43","P R Krishnan"
"44","Satishchandra Doreswamy"
"45","Suranjan Chatterjee"
"46","Subhash Sakorikar"
"47","Regu Ayyaswamy"
"48","Somnath Ghosh"
"49","Satish Thiagarajan"
"50","Vijay Govindarajan"
"51","Prabhudev Konana"
"52","Ram Charan"
"53","Bruce Temkin"
"54","Ric Merrifield"
"55","Jeanne Ross"
"56","Michael A. Cusumano"
"57","Steve Blank"
"58","Tom Davenport"
"59","Anthony Butler"
"60","Dinanath Kholkar"
"61","Venkatesan Sukumaran"
"62","Kamlesh Mhashilkar"
"63","Sunil Karkera"
"64","Amitesh Kumar"
"66","Vikas Gopal"
"67","David Kish"
"68","Danielle Stanko"
"69","Amit Das"
"70","Sougata Ghosh"
"71","Prabhakar Karamsetty"
"72","Lisa Fairbanks"
"73","James Wheless"
"74","Lakshmi Ramesh"
"75","Sachin Khalap"
