asset_id,asset_description,asset_title
1,peter drucker the legendary management scholar and consultant noted in a harvard business review article that the assumptions businesses make about customer behaviors competitors and markets constitute their theory of business the theory that a company develops dictates what it should do and how it should do it and can be a powerful tool to guide the enterprise however when those assumptions no longer reflect reality the decisions a company makes that once led to profitability can lead it astray the failure to change the theory and the assumptions that undergird it to align with the new reality drucker wrote is at the root of all business crises today because customer behaviors markets and competitors have all changed and continue to change rapidly business theories do not reflect reality for very long this is why so many companies especially those most affected by the digitization of everything are in crisis it is why they need to revise their theories of business to become smarter faster and lighter the revolution in customer behaviorhow much have business theories changed over this decade look at one aspect of customer behavior the shopping patterns of consumers just a few years ago when a shopper entered a store his or her choice was limited to what was on the shelves today armed with smart mobile devices enabled by free pervasive wifi a customer in store a can compare the price and quality of what is on the shelves with an entire universe of competing productsobtain instant reviews of products from social media channelstext friends about their experiences with the products or ask trusted strangers in online consumer forumspurchase the product from store b while standing in store a s aislethis complex path to purchase promises to grow more varied not less according to a study of shoppers interacted digitally prior to shopping while only used a digital device during the shopping process said they planned to do so in the near future just one year later u s car buyers spent of their time purchasing a vehicle doing online research by the time they went to a dealer decided to buy the car they intended to purchase if companies want to influence the customer s purchase they need to do it much earlier in the so called customer journey 3a theory of business based on a static linear customer journey or one that prescribes a rigid customer experience no longer reflects reality the digitally shifting competitive landscapetraditionally a company s growth strategy was to become the market leader in its core market segments and then protect that position against competitors but that does not account for the fact that competitors now emerge from different segments in for example nokia was the top mobile phone manufacturer in the world it had a robust well funded r d function and seemingly unassailable scale in it still had over a third of the market 4after apple launched the iphone in and google s android operating system came online the next year nokia s theory of the business became instantly obsolete nokia was not defeated by another cell phone maker it lost market share to a computer company and an online firm apple and google developed technologies with an ecosystem that used the network effect which made them valuable in the eyes of the consumers 5a theory of business that fails to account for competitors emerging from entirely different sectors of the economy no longer reflects the reality of global competition due to powerful and fast evolving technologies easy access to capital and lower barriers to entry companies need to look beyond their segments and geographies to keep a weather eye out for fast emerging competitors the metamorphosis of marketsnokia s size did not protect it indeed scale long an axiomatic part of strategies designed to dominate markets has become less important and sometimes burdensome in part this is due to the increasing power of emerging markets by it is estimated that developing economies could account for nearly of global demand for manufactured goods 6increasingly this shift in demand is forcing companies to personalize their offerings for markets by focusing on regional production as have been the strategies of ikea p g emerson and others this new reality can be seen clearly in the pharmaceutical sector large regulatory agencies like the u s food and drug administration and the european medical agency have been promulgating faster approvals of new personalized medicines for unmet medical needs in small patient populations to take advantage of these new pathways drug developers must be able to respond rapidly to guidance from regulators smaller more agile companies unburdened by outdated workflows and less top heavy can make faster decisions and take advantage of regulator input more quickly than larger companies these small companies with one or two drugs in their pipelines can achieve enormous market valuations in short times they move faster because they are much lighter organizations than big pharma how to get smarter faster and lighterhow can companies change their theories of business to become smarter faster and lighter at the speed of these digitally driven transformations we explain how to do it in the three sections of this edition of perspectives getting smarterone of the themes of this section is that companies must harness artificial intelligence ai tcs harrick vin explains two key challenges that ai poses to companies in our interview with dartmouth professor vijay govindarajan he discusses how to accelerate culture changes of the type that digital technology is forcing companies to make tcs satya ramaswamy s harvard business review article reprinted here in perspectives explains one big change that nearly every company will have to make over the rest of the decade to get smarter listening and acting quickly upon the digital data that is streaming in from the wireless sensors they have installed in their products whether your company makes cars coffee machines or barbecues it must give special treatment to such internet of things data that shows how your products are performing for customers we also profile the associated press the year old news service that has been using ai to produce quarterly earnings stories without dedicating staff to write them by the end of the software was generating quarterly earnings stories covering all listed u s companies and some in canada that has freed up ap s human workforce to do the deeper enterprise reporting its member newspapers need however getting smarter through ai forces companies to get far better at analyzing the digital data that is coursing through their data centers in her article tcs lipika dey explains the new tools for doing such crucial analytics our interview with university of texas at austin professor prabhudev konana explores the metrics and skills necessary for analytics to have impact in an organization finally in this section the head of tcs banking financial services practice k krithivasan explains how banks and financial services firm are using analytics to make better decisions getting fasteras tonya mckinney and dave anderson explain in their article on dynamic customer journeys companies must design their customer journeys to respond to changes faster they must also change their journeys in an agile iterative fashion by monitoring every consumer channel and every touch point continuously tcs sunder singh and akhilesh tiwari discuss in their article how global companies are getting faster at implementing enterprise systems ajoy mukerjee tcs global head and vice president of human resources explores how big companies can identify the key talent they will need long before others do companies need to turn uncertainty about who the new competitors may be into their advantage as ceo consultant ram charan explains in our interview with him our case study on microsoft s embrace of machine learning shows how companies can gain share for instance the search engine market by adopting new approaches to enhance digital products at the end of this section the heads of tcs retail pratik pal and life sciences practices debashis ghosh explain how companies are getting quicker at understanding their performance for customers and integrating acquisitions getting lighterto get lighter companies need to embrace technologies that reduce their it burden and costs such as cloud computing automation and software as a service saas at the same time they should seek expertise of third parties without having to inflate their workforces this is what nidhi srivastava global head of it consulting at tcs examines in her article getting lighter places even greater demands on companies that make multiple acquisitions they need to quickly integrate the operations of their newly purchased companies for example in six months rather than years as tcs vice president of business consulting dave jordan lays out in his article merging it intensive operations is one of the best ways for two companies to shed excess weight business processes applications hardware and other infrastructure that are no longer necessary when one company is taken over by another companies that can profit from changing environments and are built to incorporate continuous transformations will be the ones all of us will be doing business with tomorrow and for the foreseeable future in our interview with professor jeanne ross of the mit sloan school she explains how digital companies are able to move at the speed of light and the lessons for established companies that now must become digital big data tool provider cloudera is using its own technology to identify the changes its customers must make on the systems it runs for them as its chief strategy officer mike olson explains in the case study on the company and the head of tcs manufacturing practice milind lakkad explains how manufacturers can lighten up their operations while remaining world class harvard business review the theory of business september october accessed july iri worldwide channel migration the road to growth has many lanes september october accessed july pr newswire for dealers online presence key to influencing car shoppers march accessed july gsmarena com the rise dominance and epic fall – a brief look at nokia s history august accessed july harvard business review adaptability the new competitive advantage july august accessed july mckinsey manufacturing the future november accessed july,the ascent of the smarter faster lighter enterprise
2,the software development community has been using the term agile for more than years but over the last decade agile approaches have jumped the tracks to the rest of the business world the reason is clear the success of large companies now depends on using digital technologies to reinvent their business models automate and monitor the performance of their products and services using embedded wireless sensors use technologies to bring intelligence and personalized interactions with customers and make all this possible by tapping into the huge on demand computing power of cloud providers each article in this issue of perspectives dissects today s urgent need for companies to have industrial strength capabilities in agile to manage their businesses we group the articles in three sections the essence of agilein embracing agility means agility by the business for the business nidhi srivastava of tcs discusses why big companies must embrace agile practices when they build new businesses design new business processes and develop the systems that support them as she explains a big reason is that digital natives companies born on the internet like google facebook uber airbnb and amazon have inherent advantages over older companies established companies need to get agile quickly to compete however srivastava also shows why they shouldn t attempt to make every part of their organization agile all at the same time instead they need to phase in agile approaches carefully the next article in this section explains how in the early days of agile software development the idea was to bring business people and software developers into the same room today that s a quaint notion agile teams in many enterprises stretch across time zones it s now unrealistic to expect all agile team members to sit side by side in their article how to make location independent agile work k subramanian and mohammed musthafa s explain how to make dispersed agile team members work as one it may seem like a 21st century phenomenon but the mandate for big companies to become more agile actually goes back decades as mit sloan school prof michael cusumano reminds us in our recent interview with him from making autos to making software the evolution of lean and agile in the 1980s japanese automobile manufacturers were producing cars faster on the assembly line than their u s and european peers with less labor and fewer defects all the while reducing the time it took to develop new models cusumano and his mit colleagues referred to these manufacturing methods as lean in many ways it was a precursor to agile software powerhouse microsoft which cusumano studied in the 1990s applied what are now called agile practices to designing and developing software before the authors of the agile manifesto put their label on the practice and posted their document in in our interview cusumano lays out what s new and old about agile applying agileinnovation is a fundamental reason why companies adopt agile management practices that is the ability to source promising ideas and turn them into new products services processes and even new businesses at lightning speed in their article enterprise agility pushing innovation to the edge of the organization tcs consultants courtney wood and apala mukherjee show why some of the best agile adopters have empowered their people on the front lines to identify new business opportunities if you think that agile is something everyone below you in your organization needs to learn but not you then think again in their article effective leadership of agile organizations building a culture of servant leadership nidhi srivastava and carl shea discuss why leaders of organizations that wish to become agile must absorb the mindsets and master the skills required to make those below them successful in the last article in this section we are honored to have a pioneer of silicon valley style lean and agile approaches he is steve blank a silicon valley entrepreneur who has been a cog in the wheel of the lean startup movement blank more recently has been teaching lean startup approaches to big longstanding organizations both in business and government he tells us about that in our interview with him the tall task of getting big companies and government to innovate like lean startups agile at worktaking the lead from the digital natives they increasingly compete against two industries have been at the forefront of adopting agile practices retail and financial services in their article how retail ceos can drive agile to grow their business rajashree r and pratik pal of tcs explain how several large retailers have used agile approaches to bring innovative business models business processes and customer offerings to market faster they show why taking half measures with agile don t go far enough in keeping retailers competitive because money essentially is a product that can be fully digital banks and financial services firms have been under attack for years from digitally savvy startups that have made mortgage and auto loans faster payments and payment processing easier and stock trades cheaper in their article fending off the fintechs how agile financial services firms are transforming their businesses tcs consultants ramanamurthy magapu and sathish sankaranarayanan explain how a number of established financial institutions have used agile approaches to strike back successfully they also explain how to get past the barriers that hold financial services firms from embracing agile practices finally in our last article why your agile team is better off dispersed the case for location independent agile i explain why large companies around the world now need to significantly scale up their agile approaches to process improvement product and service development and business model innovation i show why scaling up agile requires making it truly location independent,agile s day has truly arrived
3,many exciting new digital technologies have evolved rapidly this decade–potent mobile devices that perform a myriad of tasks big data and analytics tools that crunch petabytes of data and internet of things sensors that report continuously on everything from our cars to our coffee pots so it may surprise you that a far older technology–artificial intelligence ai –is poised to become the primary driver of business transformation by how can that be given that ai has occupied the pages of science fiction for at least years and technology labs for more than while it sounds old hat compared to emerging technologies ai is beginning to revolutionize the way companies do business that is why we see articles every week about what cognitive systems are achieving or can achieve driving cars without anyone in them over long stretches beating the world s best player at a complex game the asian game go is the latest outperforming surgeons at stitching up a pig and spitting out financial stories faster than even a big newsroom could it is also why new multibillion dollar businesses for services are flourishing–uber for taxis airbnb for booking rooms and the personal digital assistants of google microsoft amazon and others for sure they are capitalizing on a bunch of digital technologies but it is the modern strain of artificial intelligence or cognitive technologies if you prefer the more modern nomenclature which now makes them possible to put it succinctly the cognitive wave is here the question is whether your company is ready to ride it that is what this article will try to answer it will give you an overview of the technology and explain the two biggest challenges to using cognitive tools to transform your business in the years ahead the basics what is cognitive technology to understand why cognitive technologies will be transformative you first have to understand what they are and what they can do think of cognitive technologies as performing four core tasks senseuntil the last few years computers have been very poor at doing what humans do with ease scanning the environment around them and understanding the context the reason is that most computers had neither the capabilities nor the processing power to analyze anything but structured data by structured i mean the transaction data of a spreadsheet or database with numbers in it unstructured data is the source food for cognitive systems the text of a call center s transcript of a customer conversation the thousands of online articles published every day the static images of pictures and moving images of video and so on the world is full of digitized data today and it is doubling every two years according to idc 1between and it is predicted to increase ten fold but or more of it is unstructured which is one reason that only an estimated of digital data in could be analyzed but this is changing cognitive technologies can increasingly assimilate and mine unstructured data in a wide range of formats extract relevant information from them e g existence of a person or an animal in a picture or extracting sentiments from a blob of text handle multiple overlapping data sources and versions and perform data integrity and completeness checks among other tasks this kind of capability is opening up a complex new world of possibilities thinka cognitive system is not useful if it only recognizes data it must also decide what that data means and at the speed of light cognitive technologies use machine learning and deep learning techniques to analyze the context gleaned during the sense phase to understand and characterize normal behavior this is used to predict future system behavior under expected and anomalous conditions as well as produce actionable insights and recommendations actafter the system has arrived at some insights it needs to drive an automatic reaction that corrects things if a car manufacturer has trained an onboard system to sense electronic control data from its automobiles and discern when they are heading for mechanical problems the system must also figure out proactive actions to correct those problems and improve customer experience a driverless car is ai on four wheels an automobile that is continually sensing thinking and acting in order to avoid all the hazards of busy roads cognitive systems think and act like experts unlike a robot they do not need to be programmed with explicit instructions to perform actions in all possible contexts the system may encounter instead cognitive systems mimic the human brain they combine self learned context with reusable patterns to construct procedures to perform complex activities utilizing reusable simple skills learnthe best cognitive systems do not stop at acting on some data that they have analyzed through technologies such as machine learning they are able to continuously refine their knowledge and algorithmic models based on the real world outcomes from them like people cognitive systems need to be designed to learn from experience the systems experience most cognitive systems support two methods for continuous learning explicit training and observational self learning why is it important now the perfect storma new class of computer systems can now sense think act and learn why is that happening now and where is it all going it is happening now because what we are witnessing today is the perfect digital storm products processes and information systems today are getting hyper instrumented and hyper connected wireless sensors in devices ranging from mobile phones and cars to computer printers are reporting on their performance extensive networks are connecting everything big data and analytics technologies can crunch the data that is being emitted so all the technical elements of the perfect storm the digital technologies that can guide what people need to do are in place entrepreneurs like elon musk the connected self driving electric car travis kalanick uber and brian chesky and joe gebbia airbnb are the ones turning those perfect storm elements into viable new businesses that are giving entrenched industries a run for their money uber does not own taxis or taxi drivers they are contractors yet its latest round of fund raising valued it at more than billion in its revenues in its home san francisco market alone were more than three times what taxis were generating in the city clearly consumers are using uber much more than taxis for its convenience and other reasons clearly uber has seized the perfect storm of digital technologies and it is reshaping a century old industry is your industry next and if so is your company prepared preparing for the stormto be able to lead this cognitive wave companies will have to overcome several challenges they are many and disparate but you could group them into two broad categories technical challenges and people and safety challenges let us start with the technical ones oddly enough technical does not mean technology it is really about knowledge and how to codify it so you can train an ai system to do the task you want it to do whether it is to drive a car perform a surgery monitor and protect a household when the family is away or even at home and much more no matter how much sophisticated technology is in a cognitive system and how well it can sense think act and learn about some issue it will not be useful unless it can also collect and sense the right digital data think and act on that data and then perfect its learning for the future take the self driving automobile its developers whether they are at tesla or toyota must understand the physics of a car the physics of braking the physics of other objects such as other cars trucks deer and people that share the road with it the physics of weather and every part of the internal and external physical environment that enables the car to operate without colliding into something to cite one narrow slice of this how much braking should be applied in bad conditions such as rain or snow does it depend on the weight of the car yes the height of the car yes the speed of the car yes the road conditions yes and that in turn means the developers of the self driving car need to capture that knowledge coherently that is not the topic that most people talk about when discussing ai and cognitive technologies they are largely discussing the technology pieces the natural language software the image recognition technologies and so on that is all necessary but not sufficient you need to capture the domain knowledge necessary to train a car to drive as expertly and hopefully better than the most skillful drivers that is a huge barrier and it takes a huge amount of effort to overcome it the second challenge involves the people and safety issues the people issues are probably the most perplexing what new jobs might arise in that firm given that the doers of work can be liberated from those manual jobs and become creators and curators of knowledge tcs conducted a major study this year of what more than mostly big companies are doing with ai one big finding was that the companies getting the greatest value from the technology in terms of revenue and cost improvements can envision the technology both automating more jobs and creating additional new jobs as compared to the companies realizing less value from ai what happens to a company that can automate of its workforce through ai systems cognitive systems are about to unleash huge changes in big companies which i boil down to automating the work of the doers and liberating them to take on the new jobs of creation and curation of knowledge but that of course poses big questions for companies how do they determine which jobs can be automated how do they determine what the new jobs will be and then how do they retrain and redeploy people for those new jobs it figures to be a massive job and skill shift that will keep many chief hr officers awake at night history however does indicate that this problem is solvable a deloitte study found that during the past years new technologies have created more jobs than they have destroyed 4as for the safety issues how do we make products and processes powered by cognitive systems safe for people and for companies consider the self driving car example again when you design and develop the autonomous vehicle to avoid an accident if the choice is between the driver suffering in a crash or another car or pedestrian suffering which one does the system choose it is a huge ethical and probably legal dilemma the other safety issue is one we have heard about for decades computer security how do we build cognitive systems that cannot be hacked or at least easily hacked in our study this turned out to be the biggest challenge for the 800+ companies we surveyed and it is not likely to go away jumping on the waveexperienced surfers know how to time the waves just right the same will hold true with companies and cognitive systems but it is becoming more evident by the day that most large companies across most industries need to climb on top of that board now because the perfect conditions are here it is time to begin exploring and investing seriously and strategically in harnessing the power of cognitive systems to reimagine your business idc the digital universe of opportunities rich data and the increasing value of the internet of things april accessed july idc the digital universe of opportunities rich data and the increasing value of the internet of things april accessed july business insider uber ceo reveals mind boggling new statistic that skeptics should put in their pipes and smoke january accessed july deloitte technology and people the great job creating machine august accessed on july,riding the cognitive wave
4,we have all seen some eye bulging numbers in recent years about the internet of things iot since general electric has publicly stated it would spend more than billion on developing sensors wireless devices and related software to install on its aircraft engines power turbines locomotive trains and other machinery companies such as ford toyota and caterpillar have invested heavily as well and our own survey of large companies average revenue of billion in north america europe asia paciﬁc and latin america found average per company spending on iot initiatives million in was projected to grow to million by yet it would be a mistake to think that iot is a game only for high rollers and crack technologists our research and client engagement experience has shown us that generating strong returns from the digital sensors wireless communications devices digital cameras installed in buildings and other smart connected devices does not come down to writing big checks or being technologically savvy the companies with the greatest value from iot to date are the best at dealing with how products are performing for customers once you accept that it becomes a lot easier to understand what you need to do to get value from iot of course every company eventually gets the truth about how its products and services are performing for customers the call center logs customer complaints spot surveys become snapshots of limited customer input more recently social media monitoring tools have given companies the means of seeing who is sounding oﬀ on their oﬀerings around the clock and around the world but for many companies such truth often comes too late after customers have decided to ﬁnd another supplier consider a recent example a friend s coﬀeemaker that he purchased two years ago just went on the blink it was an expensive machine but it is past the warranty period his wife called the manufacturer who walked her through a troubleshooting routine but to no avail the rep then said the company would mail the customer a diagnostic tool in days so the customer could troubleshoot it further like the two thirds of american adults who consume at least one cup of coﬀee a day according to gallup he and his wife are miﬀed they need a coﬀee maker right away and will not wait at least a week to get a possible ﬁx for the machine they have they told me they will now buy a competing brand the manufacturer could have avoided losing its customer had it installed a wireless digital sensor that reported on how well the machine was performing if it had the ﬁrm might have been able to alert the customer that the machine was headed for downtime before it happened and sent the diagnostic tool before it broke down now the company will lose out on the big revenue stream from this customer that follows the machine the money from its coﬀee pods this kind of data on how a company s product is performing in the ﬁeld for customers is indeed the ultimate truth because it can alert companies to product problems and customers who are about to defect this truth could be very diﬀerent from what the company thought it was or was marketing it as it is the ultimate truth because most companies get this information far too late when a loyal customer has left them behind without a dear john note in our survey we found that as of last year only of big companies had put iot technologies into their products in other words three out of four did not have the means to get the ultimate truth on product performance what is more that percentage generally goes down the lower the price of a product for example only of companies selling products with less than price tags had embedded wireless sensors in their oﬀerings in contrast of companies whose products average sales price was between million and million did have digital sensors that communicated product performance back to them but even if your ﬁrm has installed iot technologies in its products that does not mean it is about to get the ultimate truth about those products or that it will do something with that information that requires your ﬁrm to do much more we see four key elements of using the iot to get the ultimate truth on product performance getting customers to agree to have their products monitored which in turn means giving them something of value in return to get value from the iot you have to give value ﬁrst or as intel corp s vice president and gm of its billion iot business jonathan ballon says the beneﬁt has to be to customers there has to be a value exchange he told us this is especially the case when a company s wireless sensors are transmitting sensitive customer data such as medical conditions hp inc the part of the old hewlett packard that makes printers printing ink pcs and other digital devices has found the same thing in its hp instant ink initiative hp outﬁtted its printers in with wireless sensors that monitor ink levels and automatically trigger reorders before customers run out so hp dangled cost savings of up to and solved a problem i e running out of ink and it enticed many customers the cio of hp inc naresh shanker told us there has to be customer value cost savings very high quality ink a great customer experience all of that product performance data must be processed and acted upon quickly had my friend s coﬀee maker been equipped with a digital sensor the manufacturer may have had the chance to keep him a loyal customer but that would have required it to be able to quickly process huge volumes of digital data think about companies with millions of customers and millions of products in the ﬁeld and that would have then required the company to trigger an automated response e g a customer call center to reach out to the customer an email to be sent out saying for example that they will try to diagnose and ﬁx the problem remotely and then if the ﬁx is deduced an enterprise resource planning system that is triggered to order a part to arrive at the customer if the customer can ﬁx it himself and issue a bill for that part in other words a company s iot systems must be connected to its erp systems for billing distribution repair and other activities to make the product right so now the product is not just the physical object that was sold to the customer but also the entire set of systems and experiences that stand behind it a culture that accepts the truth however bad of all the technologies that companies have implemented in the last years the iot may face the greatest organizational resistance what product line leaders production heads or r d executives will want the ceo to know on a daily basis that the products that they developed and delivered are having trouble in the ﬁeld with customers said intel s ballon without question the biggest barrier to the internet of things by a large margin is cultural it s organizational inertia that gets in the way people are afraid what new technologies might reveal about the business from our survey we found one of the many ways companies that had gained the biggest beneﬁts to date from the iot diﬀered from the rest is the support for iot at the top of the company the companies i ﬁnd that are brave are driving this change from the top said ballon the more timid and change averse companies tend to dig in with their feet get lost in the weeds and take too long to make technology decisions reimagining the business must become the mantra digital technologies like the internet of things allow companies to do things operationally that were impossible or infeasible before technology for monitoring product performance has been used for decades but largely on very expensive and critical products such as public elevators you do not want people to be trapped in an elevator very long and companies like otis elevator have outﬁtted their products for years with technologies that report on such outages the internet of things gives companies the opportunity to monitor product performance of the cheapest of products for example procter gamble has had an electronic toothbrush with wireless sensors for two years in our research we found companies such as grocery giant kroger reducing checkout lines through technology that monitors its stores auto insurers have been oﬀering usage based policies based on technologies that track the way customers actually drive simply by leveraging their customers existing smartphones the opportunities to reimagine how to do business are abundant but they only happen to companies that are open to reimagining the way they have done business for years when companies are prepared to deal with these four they will be far more likely to see and act eﬀectively on the possibilities of the internet of things by dealing with the ultimate truth well how their products are performing every day for customers they will be far more likely to keep their customers for the long haul this article was originally published on june at copyright 2016© by harvard business publishing all rights reserved,using iot data to understand how your products perform
5,you probably need little evidence to believe that the experience your company provides to its customers in learning about buying and using your offerings is hugely important today but for the few doubting thomases left in the business world i have data google data that is as you might know google tracks the world s digital information according to its indexing of books since the 1980s seen in figure using the google ngram viewer1 the term customer experience trawls along the bottom of the chart until a time in which and not so coincidentally customer relationship management systems began sprouting up in large corporations one of the pioneers and early powerhouses of crm software siebel systems was born just four years before that then the curve shoots up all the way through the last year for which google s ngram viewer provides results figure the rise in interest in customer experience as shown in books indexed by google 2so what about since we turn to another google product google trends it indexes how many times the term was used in google searches the answer the popularity of the term has more than doubled since as shown in figure below figure the rise in interest in customer experience as shown in trends indexed by google 3the notion of the customer experience is mesmerizing many c suites and it s not a fad that will fade away we believe it s not only here to stay but that it will become paramount in fact many large companies in recent years have come to amazon founder jeff bezos epiphany becoming obsessed with customers the time to transform the experience your company provides customers is now not in two years not by but now in this issue of tcs perspectives we show you how the following articles lay out the thinking of top tcs customer experience experts consultants who work on the front lines with clients whether they make industrial goods consumer products or automobiles or whether they provide services such as walking through retail stores and bank branches or seats on an airplane or rooms in a hotel allow me to tell you a little bit about each article and what i believe makes it noteworthy designing customer experiences cx forget everything you know about bricks and clicks it s wrong or soon will be authors david nelson and jim walb make a compelling case about why every company must look outside their industry to vault ahead in the customer experience the key is to look at firms that provide superior outcomes for customers because ultimately that s all that matters the four core competencies of cx interview with bruce temkin the temkin group has become renowned for its stellar research on cx leaders in many industries and its practical advice bruce lays out four core competencies that he believes are necessary for companies to provide a superior customer experience purposeful leadership compelling brand values customer connectedness and employee engagement when cx should begin with tweaks not disruption not every company must come to market with a disruptive customer experience some only need small adjustments to generate greater customer loyalty revenue and profit paul ignasinski explores two steps by which companies can identify those opportunities and put their resources against them the seven deadly myths of today s b2b sell in business to business customer interactions the experience that sales people provide make or break relationships every day lisa hager sheds light on seven myths that many b2b sales executives and their teams operate under beliefs about selling that were once sacrosanct but no longer are she also explains what to do about them personalization boundaries tuning in to customers without turning them off every company today can and must tailor its interactions especially the digital ones with customers in fact research says customers expect it until the personal touch turns them off dave anderson and keith wheeler explain how to keep within seven guardrails and prevent personalization from becoming creepy designing for the small silver screen the iphone was introduced years ago and mobile apps now consume hours each day in the average consumer s life it s critical for companies to design their apps right which isn t easy because the competition is intense and app technology grows ever more powerful two of our app experts oghie ojior and skip vanderburg give you three ways to raise your app game not every company must come to market with a disruptive customer experience some only need small adjustments to generate greater customer loyalty revenue and profit the cx after the salehow iot technologies are revamping the post sale experience the internet of things seems to be as popular a topic as customer experience there s good reason for that companies that embed digital sensors in their products and on the premises in which they do business can track customers and how they are using those products authors gill hide alex prigojine and robert perry explain five fundamental ways that companies can use iot technologies to dramatically improve what customers do with your offerings after they buy or rent them reimagining the contact center with digital technologies the call center is a thing of the past companies now need contact centers whose employees and increasingly ai driven systems respond to customers who phone in email type in social media comments and text message their questions and complaints natarajan baskaran and rohit kale explain how to evolve the call center in three stages the magic that can happen when manufacturers digitally attach themselves to their products the internet of things is not only turning consumer sectors inside out it s now redefining the way industrial and other manufacturers relate to their customers as sreenivasa chakravarti and subhash sakorikar explain companies that take six bold steps can do wonders in improving the experience that customers have in using their products using iot technologies to completely rethink the customer experience interview with ric merrifield merrifield has been at the intersection of digital technology and business and operational strategy for many years at microsoft and other companies he wrote a groundbreaking harvard business review article on web service architectures nearly years ago a book called rethink and more recent hbr articles on cx in a world of iot technologies merrifield discusses life on the front lines of major cx initiatives at such companies as starbucks and disney the future of cxwhy your cx must soon plug and play into a digital ecosystem digital ecosystems are online platforms that make life infinitely easier for consumers by bringing to bear in one place everything they need to make a major purchase a car a home a vacation and even a new career antony grigg makes a strong case about why executives must figure out how their companies must play in the digital ecosystems that will soon encompass their products and services what comes after cxm helping customers help other customers cxm is what came after crm butwhat comes after cxm when you and your rivals provide competitive customer experiences steve goren and anthony butler believe it will be icrm inter customer relationship management simply put it s about how a large company can broker business between customers i e customer to customer in a scalable and profitable way the internet of things is not only turning consumer sectors inside out it s now redefining the way industrial and other manufacturers relate to their customers cx leadershiphow the ceo can propel a cx initiative cx is indeed a ceo issue and there are five crucial roles for ceos to play in these initiatives in my concluding article i examine how the leaders of domino s pizza burberry pepsi virgin group and airbnb played these roles and by doing so ensured the success of the initiatives just as your company strives to delight customers in their journey of buying using and renewing the purchase of your products we strive too in this edition of tcs perspectives to intrigue you with our ideas we strongly welcome your feedback time com the rise and fall of practically everything as told by the google books ngram viewer january accessed may google books ngram viewer accessed may google trends accessed may,the view inside our take on the customer experience revolution
